"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31"
1,-0.886090578882912,-0.622836278082007,-0.506791107886232,-0.498501834373987,-0.474766073227152,-0.873073497553584,-0.894013155164884,-0.910796963595388,-0.903261026209597,-0.89793841231407,0,1,0,0,0,0,1,0,0,1,0,-0.277076319883322,-0.0820682270553956,-0.298702298781953,-0.38776845548926,-0.575811234234736,-0.252011580858079,-0.227597233199663,0.241426872392813,-0.319229771313071,-0.61606633793757
0,-0.886090578882912,-0.622836278082007,-0.506791107886232,-0.498501834373987,-0.474766073227152,-0.873073497553584,-0.894013155164884,-0.910796963595388,-0.903261026209597,-0.89793841231407,1,0,0,1,0,0,1,0,0,1,0,0.880478444172661,-0.0820682270553956,-0.296199861764789,-0.302828989316771,-0.575811234234736,-0.24927226961007,-0.167276656811964,-0.173966122896791,2.98104157934481,-0.61606633793757
0,1.98692783008475,-0.622836278082007,2.67205980732713,2.56537257699584,2.56434147689736,1.90414689192753,1.99173721162057,2.0692716887959,2.03203442982455,2.04899374832224,0,0,1,0,0,0,1,0,0,1,0,-0.268673880630584,0.104938267779959,0.159243675359032,-0.38776845548926,-0.575811234234736,0.0613656259140822,-0.222384343882208,0.018894910630525,-0.260506081799586,-0.493325095494709
1,-0.886090578882912,-0.622836278082007,-0.506791107886232,-0.498501834373987,-0.474766073227152,-0.873073497553584,-0.894013155164884,-0.910796963595388,-0.903261026209597,-0.89793841231407,1,0,0,0,0,0,1,0,0,1,0,-0.277697019546556,-0.0820682270553956,-0.223629188267038,-0.38776845548926,-0.575811234234736,-0.165997207670615,-0.229086630147508,-0.663536438773824,-0.237016605994191,-0.61606633793757
1,-0.886090578882912,-0.622836278082007,-0.506791107886232,-0.498501834373987,-0.474766073227152,-0.873073497553584,-0.894013155164884,-0.910796963595388,-0.903261026209597,-0.89793841231407,0,1,0,0,0,0,1,0,0,0,1,-0.277697019546556,-0.0820682270553956,-0.306209609833445,-0.41608161088009,-0.896295089149542,-0.255298754355689,-0.229086630147508,-0.663536438773824,-0.330974509215768,-0.61606633793757
1,-0.886090578882912,-0.622836278082007,-0.506791107886232,-0.498501834373987,-0.474766073227152,-0.873073497553584,-0.894013155164884,-0.910796963595388,-0.903261026209597,-0.89793841231407,0,0,1,0,0,0,1,0,0,0,1,-0.277697019546556,-0.14752050024777,-0.298702298781953,-0.359455300098431,-0.575811234234736,-0.251463718608477,-0.229086630147508,-0.663536438773824,-0.00212184794025006,-0.61606633793757
0,1.02925502709553,-0.622836278082007,2.67205980732713,2.56537257699584,-0.474766073227152,1.56228447696301,0.548862028227843,0.579237362600258,1.59813375650921,-0.594305261072264,1,0,0,1,0,0,1,0,0,1,0,-0.135420096536848,-0.0820682270553956,-0.208614566164054,-0.274515833925942,0.0651564755948754,-0.214756947885164,-0.21642675609083,-0.322320764071649,-0.366208722923859,-0.431954474273278
1,1.98692783008475,-0.622836278082007,-0.506791107886232,-0.498501834373987,-0.474766073227152,1.90414689192753,1.99173721162057,2.0692716887959,2.03203442982455,2.04899374832224,0,0,1,0,0,0,1,0,0,0,1,-0.27696121797575,-0.0820682270553956,-0.116024396528992,-0.38776845548926,1.3470918952541,-0.123263952201684,-0.226852534725741,-0.159130658779305,-0.377953460826556,-0.431954474273278
0,1.98692783008475,-0.622836278082007,2.67205980732713,2.56537257699584,-0.474766073227152,1.90414689192753,1.99173721162057,2.0692716887959,2.03203442982455,2.04899374832224,0,0,0,1,0,0,1,0,0,1,0,-0.127751398716846,-0.0820682270553956,-0.28368767667897,-0.38776845548926,-0.575811234234736,-0.219139845881978,-0.219405549986519,-0.470675405246508,-0.377953460826556,-0.554695716716139
1,0.550418625600918,0.764772190281302,-0.506791107886232,-0.498501834373987,-0.474766073227152,-0.0854686635806621,0.548862028227843,0.579237362600258,-0.265539107531481,1.4571443829319,0,0,1,0,0,0,1,0,0,0,1,-0.276702836788314,-0.0820682270553956,-0.243648684404348,-0.0480105907993053,0.385640330509681,-0.165449345421013,-0.228341931673586,1.14639018355945,-0.225271868091494,-0.493325095494709
